origin_preds,orig_preds_scaled,preds_eps=2.0,preds_scaled=2.0,preds_eps=4.0,preds_scaled=4.0,preds_eps=6.0,preds_scaled=6.0,preds_eps=8.0,preds_scaled=8.0,preds_eps=10.0,preds_scaled=10.0
-1262.1868896484375,-13.209931722056929,-2754.76025390625,-29.07699249708263,-7824.73046875,-82.9741927640174,-9850.0009765625,-104.50418318382326,-10081.4052734375,-106.96416681346781,-8494.6123046875,-90.09548814382035
-880.064697265625,-9.147715287530726,-536.6019897460938,-5.496475231483509,-361.3648376464844,-3.633586204390668,-291.57958984375,-2.891721988800289,-242.3306427001953,-2.36817248956252,-244.7726287841797,-2.3941324474005814
-2735.8349609375,-28.875803878210526,-814.29541015625,-8.448543440649027,-115.48271942138672,-1.0196935765333583,-26.451374053955078,-0.07323037301116889,-18.309009552001953,0.013328449153760332,-11.206912994384766,0.08882852198659422
-552.9124755859375,-5.669866688338084,-222.71192932128906,-2.1596123444029507,-134.41233825683594,-1.2209281822838756,-115.67565155029297,-1.0217445750893541,-139.12290954589844,-1.2710047297544997,-179.33050537109375,-1.6984385711009047
-466.84783935546875,-4.754941602341811,-171.0988006591797,-1.6109300022936666,-200.98289489746094,-1.9286180642946846,-284.7834777832031,-2.8194747373881595,-366.4421081542969,-3.6875610116918596,-428.3157043457031,-4.345319038632547
-1233.9822998046875,-12.910097923664052,-638.3739624023438,-6.578379889573096,-773.0824584960938,-8.010421989222039,-852.236572265625,-8.851883564143666,-861.7374877929688,-8.952884699297723,-880.0670166015625,-9.147739943634848
-1037.0692138671875,-10.816779111478358,-548.93310546875,-5.627563302114163,-333.6427307128906,-3.338881524499895,-231.91798400878906,-2.2574789101093597,-205.59356689453125,-1.977632614964763,-213.5704803466797,-2.062432580965293
-1127.6771240234375,-11.780002261224286,-737.4032592773438,-7.631128055694246,-558.7924194335938,-5.732374454199826,-442.5677795410156,-4.496828203079353,-392.90032958984375,-3.968829736948567,-370.77783203125,-3.733652678545069
-732.9390258789062,-7.583670246019256,-398.84222412109375,-4.031996080328289,-280.5900573730469,-2.7748958522917686,-230.4012908935547,-2.2413554401260574,-229.6714324951172,-2.2335965534659508,-270.8317565917969,-2.6711585384250784
-619.9041137695312,-6.382032950936623,-312.7882995605469,-3.1171848666023663,-298.2169494628906,-2.9622815947697916,-332.2470397949219,-3.3240443894224017,-432.0885314941406,-4.38542673389997,-540.5557861328125,-5.538506751717249
-843.5125122070312,-8.759140926180597,-504.2164001464844,-5.152194587920261,-502.4616394042969,-5.133540298617863,-602.1674194335938,-6.193479936581904,-522.5592651367188,-5.347191604856085,-532.6969604492188,-5.454962138281164
-2266.87060546875,-23.89039672320376,-1093.95654296875,-11.421529758782196,-672.4110717773438,-6.940217301382916,-754.2196655273438,-7.809897787471519,-668.6959228515625,-6.900722764494302,-544.6793823242188,-5.582343358310616
-254.62550354003906,-2.4988751463550654,-120.57259368896484,-1.0738023702951043,-253.55812072753906,-2.4875281477004454,-280.2261047363281,-2.77102679047924,-222.19236755371094,-2.1540890526573278,-119.28795623779297,-1.060145808413636
-687.2630004882812,-7.098103312969338,-329.97784423828125,-3.2999213113413863,-258.3238525390625,-2.5381910887000103,-257.4853515625,-2.529277258215268,-303.6296691894531,-3.019822453340756,-323.32122802734375,-3.2291569948231915
-310.7768249511719,-3.0958015358806334,-188.37608337402344,-1.7945991614978065,-157.3059539794922,-1.4643027464629035,-136.7217254638672,-1.2454785246955213,-119.0144271850586,-1.0572380102394205,-202.87257385253906,-1.9487066251276197
-2024.396484375,-21.312733401656697,-437.0553894042969,-4.438227780876012,-180.1221466064453,-1.7068542509556675,-94.9140853881836,-0.8010351346239506,-125.7853775024414,-1.1292177753640749,-20.140377044677734,-0.006140221535095531
-987.9595947265625,-10.294710762811198,-494.3488464355469,-5.047295841780482,-384.4098815917969,-3.8785705526308876,-342.43316650390625,-3.4323297812322275,-354.77178955078125,-3.563497659778854,-358.5119934082031,-3.603258547476464
-728.630615234375,-7.537868937234318,-239.5757598876953,-2.338886228625023,-129.24159240722656,-1.1659596691021057,-272.8488464355469,-2.692601562872579,-345.8951721191406,-3.4691332341249566,-382.3639831542969,-3.856821273416405
-686.35595703125,-7.0884608297233225,-245.9859161376953,-2.4070305096578934,-269.89923095703125,-2.6612451624561504,-250.47352600097656,-2.454736826908634,-147.1732940673828,-1.3565857427375607,-143.92529296875,-1.322057302083668
-767.6786499023438,-7.952975861998487,-553.4249877929688,-5.675315038504075,-462.5356750488281,-4.709100389598888,-424.4812316894531,-4.304556010071369,-436.31988525390625,-4.430408876067715,-436.2760925292969,-4.429943329891212
-1418.68798828125,-14.873643873720518,-772.5377807617188,-8.004631697822575,-677.5543823242188,-6.994894158806723,-560.3952026367188,-5.749413119837426,-508.5378723144531,-5.198134749502093,-711.716552734375,-7.358061053704564
-142.51197814941406,-1.307032813057094,21.32046890258789,0.43461651323108186,5.094752788543701,0.2621262156919233,-22.747684478759766,-0.033857656742260336,-26.519001007080078,-0.07394929309976217,-21.301532745361328,-0.018484089188914744
-1330.10107421875,-13.93190527449219,-643.5081787109375,-6.632960069114953,-689.1677856445312,-7.118352462901485,-600.8164672851562,-6.179118404776017,-540.2051391601562,-5.534779138080996,-448.3438415527344,-4.558231635014393
-1914.3802490234375,-20.14318667493295,-710.79052734375,-7.3482167797116595,-787.8646240234375,-8.167566371150281,-823.34375,-8.544733391275178,-860.656494140625,-8.941393008242601,-859.8350830078125,-8.932660854314543
-1677.4263916015625,-17.624207476574266,-1238.8626708984375,-12.961979557494304,-838.0867309570312,-8.701461214812738,-357.1059265136719,-3.5883111087752697,-60.02042007446289,-0.4300919559135881,-16.62192153930664,0.03126333173393079
-822.677734375,-8.537653196323255,-411.07427978515625,-4.162031075775021,-334.3951721191406,-3.346880483752763,-285.2811584472656,-2.824765418256742,-260.3078918457031,-2.5592827636637803,-195.4168243408203,-1.8694469830499016
-888.05419921875,-9.2326490777806,-594.6720581054688,-6.113799194199586,-459.6936950683594,-4.678888227067147,-447.8565368652344,-4.5530512577695115,-550.2290649414062,-5.641340224714435,-706.8775634765625,-7.306619336679426
-884.310791015625,-9.192854125728612,-493.4348449707031,-5.037579390222103,-353.6502380371094,-3.5515748113240297,-306.5091247558594,-3.0504330066075114,-301.0121765136719,-2.9919967421500315,-307.390380859375,-3.059801352906387
33.40928649902344,0.5631287914843007,34.25081253051758,0.5720747803416882,33.89174270629883,0.5682576261167837,33.21918869018555,0.5611079236608085,31.752864837646484,0.545519912886091,30.024620056152344,0.5271475061161737
-982.6787719726562,-10.238572057950929,-526.4823608398438,-5.388896756132638,-429.85186767578125,-4.3616494901215,-404.9720764160156,-4.0971605414091155,-439.8874206542969,-4.468334181697968,-488.9908447265625,-4.99033667261333
-1050.3914794921875,-10.95840377355185,-601.2003784179688,-6.183199638852959,-502.3388977050781,-5.1322354716339635,-540.3417358398438,-5.536231252844779,-606.9205932617188,-6.24400937775455,-672.4122924804688,-6.940230278279821
-506.1786193847656,-5.173054300851836,-342.4932556152344,-3.4329685689824263,-248.70762634277344,-2.435964123421969,-173.9674530029297,-1.6414257100228036,-145.5854949951172,-1.3397063685094834,-190.91136169433594,-1.8215508786819106
-823.0150756835938,-8.541239361783234,-675.5870971679688,-6.973980591752987,-827.2363891601562,-8.586114768973927,-777.175048828125,-8.053928982633993,-757.802001953125,-7.847980437976759,-671.2186889648438,-6.927541468485119
-556.7327270507812,-5.7104785360503065,-884.4956665039062,-9.194819476765028,-1510.8914794921875,-15.8538291254123,-1971.158935546875,-20.746782378412153,-1898.9869384765625,-19.97954540956871,-303.45684814453125,-3.017985249161287
-601.02294921875,-6.181313446887669,-311.6352233886719,-3.104926889784944,-243.4512481689453,-2.380085280922242,-211.26100158691406,-2.037881265286379,-268.79852294921875,-2.649543894515996,-420.4322814941406,-4.261512940723806
-318.0291442871094,-3.172898578088964,-128.2295379638672,-1.1552008482997507,-293.0896911621094,-2.9077753835402986,-424.1052551269531,-4.300559125824317,-382.5718078613281,-3.859030590114654,-314.3642883300781,-3.133938689352878
-333.4157409667969,-3.336468470520221,-74.2598648071289,-0.5814668500302199,-28.216907501220703,-0.09199918342876219,-18.034626007080078,0.016245331155810033,-10.63302230834961,0.09492936675014056,-4.721004962921143,0.15777809550898797
-1161.6502685546875,-12.14115968363623,-786.8871459960938,-8.15717512095279,-648.0960693359375,-6.681732438446523,-558.5892944335938,-5.730215098554666,-522.2380981445312,-5.343777383280112,-516.3594360351562,-5.281283243160121
