,arch,activation,attack,iterations,degree,eps 2,eps 4,eps 6,eps 8,eps 10,SROCC
0,resnet50-Linearity,relu,IFGSM,1.0,10^0,0.315681116488216,0.2696676834128377,0.2023011994130439,0.135150443126726,0.0708032287098517,0.9073427128458336
1,resnet50-Linearity,Fsilu,IFGSM,1.0,10^0,0.1911672665109155,0.2684400655717336,0.3049362308897377,0.3187796111671346,0.3190698774008117,0.8059640341191723
2,resnet50-Linearity,silu,IFGSM,1.0,10^0,0.3441609804709285,0.3155820367051766,0.2527504252993864,0.1848953006385134,0.117435612171198,0.8979679103300369
3,resnet50-Linearity,relu_silu,IFGSM,1.0,10^0,0.3133714253712514,0.2944364233898071,0.2504537688276617,0.2021903579671691,0.1512284032966716,0.907032739330434
4,resnet18-Linearity,relu,IFGSM,1.0,10^0,0.4497016574581141,0.443470159189032,0.392569890854238,0.3373114422893047,0.2853809498926355,0.8954013771159083
5,resnet34-Linearity,relu,IFGSM,1.0,10^0,0.2748647050018353,0.2688528750281374,0.2368940844607013,0.1975004180452951,0.1560030522836283,0.90180907612445
6,wideresnet50-Linearity,relu,IFGSM,1.0,10^0,0.3527581900359731,0.307873638812309,0.2410777233587658,0.1794500355001124,0.124623673384122,0.9141370047486748
7,vonenet50-Linearity,relu,IFGSM,1.0,10^0,0.1914812673869713,0.2707807345086222,0.3073541635660285,0.3217617759815714,0.3213409917298717,0.8581454114877978
8,advresnet50-Linearity,relu,IFGSM,1.0,10^0,0.1138167460040086,0.1763367446043926,0.2149476725682583,0.2414946118643471,0.2597918142026669,0.8544529631927879
9,resnet50-Linearity+prune=0.1pls,relu,IFGSM,1.0,10^0,0.2707073416202926,0.2234132993536113,0.158906163960891,0.0984764549706562,0.0431917234695306,0.9053427252105404
10,resnet50-Linearity+prune=0.1l1,relu,IFGSM,1.0,10^0,0.2973490423879212,0.2544333648409368,0.1911960835237206,0.1297597603095078,0.072067350143899,0.9069346965938276
11,resnet50-Linearity+prune=0.1l2,relu,IFGSM,1.0,10^0,0.2942180991996552,0.2323261180758336,0.1569623193011229,0.086386477346602,0.0211634449993223,0.9071260803983338
12,Resize,,,,,,,,,,
13,resnet50-Linearity,relu,IFGSM,1.0,10^0,0.3196352116301733,0.2393204026504451,0.1679426569993489,0.110713996429005,0.0617083829226348,0.9073427128458336
14,resnet50-Linearity,Fsilu,IFGSM,1.0,10^0,0.3310503298248028,0.4081522080350331,0.434165171643621,0.442975313107158,0.439738040835007,0.8059640341191723
15,resnet50-Linearity,silu,IFGSM,1.0,10^0,0.3358625408345048,0.2500035127285949,0.1665148671437261,0.0949759119965036,0.0337303607898643,0.8979679103300369
16,resnet50-Linearity,relu_silu,IFGSM,1.0,10^0,0.3108187476908661,0.2621927555376963,0.2170677199784471,0.1794696173707613,0.141884058195434,0.907032739330434
17,resnet18-Linearity,relu,IFGSM,1.0,10^0,0.4325546013694741,0.4049659695397183,0.3586858568609938,0.3231827816825119,0.2958196459332233,0.8954013771159083
18,resnet34-Linearity,relu,IFGSM,1.0,10^0,0.4080665315691569,0.3604358032412283,0.2859946884189392,0.2174782199465132,0.1584082552878408,0.90180907612445
19,wideresnet50-Linearity,relu,IFGSM,1.0,10^0,0.279331916876025,0.224324746941136,0.1825838548518307,0.1529643576843699,0.1298932817106768,0.9141370047486748
20,vonenet50-Linearity,relu,IFGSM,1.0,10^0,0.1575151842159444,0.1982571282818003,0.2128181464243933,0.2187482126279596,0.2201863996893399,0.8581454114877978
21,advresnet50-Linearity,relu,IFGSM,1.0,10^0,0.1985238129973999,0.2835982469963028,0.3329898619769722,0.3689641867190752,0.3959610341089883,0.8544529631927879
22,resnet50-Linearity+prune=0.1pls,relu,IFGSM,1.0,10^0,0.2807488612285878,0.2106404510895257,0.1519484096424344,0.1073827063895025,0.0717673119062792,0.9053427252105404
23,resnet50-Linearity+prune=0.1l1,relu,IFGSM,1.0,10^0,0.3070618694729906,0.2318518028673034,0.1664601791678756,0.1149683331263215,0.0718170277127613,0.9069346965938276
24,resnet50-Linearity+prune=0.1l2,relu,IFGSM,1.0,10^0,0.2991834491047621,0.1926244663788009,0.1102720373971645,0.0495177799675804,0.0013841166071231,0.9071260803983338
25,debiasedresnet50-Linearity,relu,IFGSM,1.0,10^0,0.2818048013531932,0.2436345321692103,0.2184820619437469,0.2036586911600419,0.1945658649915333,0.9007504650900848
26,,,,,,,,,,,
27,resnet50-Linearity,relu,IFGSM,1.0,10^0,0.3174116372890977,0.2711459258042711,0.2034096663286653,0.1358908616487044,0.0711905868014346,0.9073427128458336
28,resnet50-Linearity,Fsilu,IFGSM,1.0,10^0,0.1636104025424969,0.2297442497889455,0.2609794904544683,0.272827489772825,0.2730757616178678,0.8059640341191723
29,resnet50-Linearity,silu,IFGSM,1.0,10^0,0.2597574687178554,0.2381870637300304,0.1907643969840966,0.1395509871247856,0.0886347675207367,0.8979679103300369
30,wideresnet50-Linearity,relu,IFGSM,1.0,10^0,0.4404765914772832,0.384431273431617,0.3010249524093079,0.2240721025537118,0.1556121144834528,0.9141370047486748
31,vonenet50-Linearity,relu,IFGSM,1.0,10^0,0.1456150891977896,0.205410044566726,0.2325409926690772,0.2427095611708413,0.2433286829264907,0.8581454114877978
32,advresnet50-Linearity,relu,IFGSM,1.0,10^0,0.0611025438093723,0.0946663652016859,0.11539471999587,0.1296463976578984,0.1394692379481427,0.8544529631927879
33,resnet50-Linearity,relu_silu,IFGSM,1.0,10^0,0.2303682645129987,0.2164486107249669,0.1841156352679458,0.1486358538592615,0.111172278951117,0.907032739330434
34,resnet18-Linearity,relu,IFGSM,1.0,10^0,0.2980967631642572,0.293965902695312,0.26022545658979,0.22359577736597,0.1891725688078731,0.8954013771159083
35,resnet34-Linearity,relu,IFGSM,1.0,10^0,0.2182513151151388,0.2134778726377103,0.1881015824673763,0.1568215266338065,0.1238713386658814,0.90180907612445
36,resnet50-Linearity+prune=0.1pls,relu,IFGSM,1.0,10^0,0.2024434609032326,0.1670756931015776,0.1188352229432827,0.073644110824028,0.0323004043994797,0.9053427252105404
37,resnet50-Linearity+prune=0.1l1,relu,IFGSM,1.0,10^0,0.2086438643749434,0.1785309929871753,0.1341585087336066,0.0910499020984101,0.0505680989874457,0.9069346965938276
38,resnet50-Linearity+prune=0.1l2,relu,IFGSM,1.0,10^0,0.2389577053207679,0.1886909653059818,0.1274819526032844,0.0701611496486072,0.0171878938957012,0.9071260803983338
39,resnet50-Linearity,gelu,IFGSM,1.0,10^0,0.4033016062010182,0.3937574720647348,0.3442683538233937,0.2884862928750028,0.231876088272428,0.9054148805343132
40,resnet50-Linearity,elu,IFGSM,1.0,10^0,0.22330776541684,0.2015555926216712,0.1692791698595306,0.1359758657885195,0.1011534959257402,0.908696613023034
41,resnet50-Linearity,Fgelu,IFGSM,1.0,10^0,0.5736449293087882,0.7907521275266582,0.8753994281395935,0.901769387388634,0.891817010123757,0.830302889183858
42,resnet50-Linearity,Felu,IFGSM,1.0,10^0,0.10989306649480796,0.11231768463248264,0.10997629028470444,0.1086977937498884,0.10771766729183754,0.8368197474309959
