,arch,activation,attack,iterations,eps 2,eps 4,eps 6,eps 8,eps 10,SROCC,PLCC
0,resnet101-Linearity,relu,PGD,1,0.1741212868030694,0.1493779598819283,0.1159711727904948,0.0851366156715784,0.0579437023741893,0.9225319365302196,0.934034873216349
1,resnet101-Linearity,relu,PGD,1,0.174121250668704,0.1493779071301196,0.1159712923238486,0.0851363293799988,0.0579436629864839,0.9225319365302196,0.934034873216349
2,resnet101-Linearity,relu,PGD,1,0.2258452619971581,0.2177117212548536,0.1879771728457533,0.1637431690148995,0.1402024087523407,0.9225319365302196,0.934034873216349
3,resnet101-Linearity,relu,PGD,1,0.1741212320060369,0.1493779547938106,0.1159710650358842,0.0851366671326513,0.0579437155200522,0.9225319365302196,0.934034873216349
4,resnet101-Linearity,relu,PGD,1,0.1741211940197463,0.1493778690191202,0.1159710861553139,0.0851367003667585,0.0579434959515605,0.9225319365302196,0.934034873216349
5,resnet101-Linearity,relu,PGD,1,0.1741212446515059,0.149377909624295,0.115971269103076,0.0851365774670474,0.0579435740566617,0.9225319365302196,0.934034873216349
6,resnet101-Linearity,relu,PGD,1,0.2517545471903137,0.2293792568359379,0.2048036304557111,0.188481104444521,0.1769374838577149,0.9225319365302196,0.934034873216349
7,resnet101-Linearity,relu,PGD,1,0.2258452619971581,0.2177117212548536,0.187977220235085,0.1637431690148995,0.1401930406297174,0.9225319365302196,0.934034873216349
8,resnet101-Linearity,relu,PGD,1,0.1672474548312326,0.1508673909444274,0.1236517585482622,0.0997305941434966,0.0806012494022708,0.9225319365302196,0.934034873216349
9,resnet101-Linearity,relu,PGD,1,0.2258452619971581,0.2177117212548536,0.187977220235085,0.1637431690148995,0.1402024087523407,0.9225319365302196,0.934034873216349
10,resnet101-Linearity,relu,PGD,1,0.1741212588994826,0.1493779244272257,0.1159712304121809,0.0851362522265815,0.0579435811120602,0.9225319365302196,0.934034873216349
11,resnet101-Linearity,relu,PGD,1,0.25175458409293,0.2293792670923057,0.2048036708160559,0.1884810389633279,0.1769373582312315,0.9225319365302196,0.934034873216349
12,resnet101-Linearity,relu,PGD,1,0.1741212727172141,0.1493779733754169,0.1159711304393973,0.0851367202274091,0.0579436615679216,0.9225319365302196,0.934034873216349
13,resnet101-Linearity,relu,PGD,1,0.2517545551242514,0.2293793057218522,0.2048036247560098,0.1884810010478396,0.1769373028224762,0.9225319365302196,0.934034873216349
14,resnet101-Linearity,relu,PGD,3,0.4097051665094161,0.4357083340996426,0.4319209446901307,0.4215734141781354,0.40764278881754,0.9225319365302196,0.934034873216349
15,resnet101-Linearity,relu,PGD,5,0.5907360027350784,0.6536532320544488,0.6443288979967737,0.5936294905230471,0.5390248709660984,0.9225319365302196,0.934034873216349
16,resnet101-Linearity,relu,PGD,8,0.8135106873890061,0.8823085120291239,0.8115918750913648,0.7170418665263665,0.6295300238824928,0.9225319365302196,0.934034873216349
17,resnet101-Linearity,relu,PGD,3,0.5025958126748198,0.5177934705112732,0.5103642780805354,0.5002601992320242,0.4900188532635176,0.9225319365302196,0.934034873216349
18,resnet101-Linearity,relu,PGD,5,0.6726712948739448,0.7029397092567548,0.6850725524924625,0.6399167724654603,0.5953253412021352,0.9225319365302196,0.934034873216349
19,resnet101-Linearity,relu,PGD,8,0.8671062268210412,0.8863457062939086,0.8130160844115035,0.7313891242906796,0.6629563166051278,0.9225319365302196,0.934034873216349
20,resnet101-Linearity+cayley_pool,relu,PGD,1,0.0662661636290762,0.0463525801676094,0.0253601043645798,0.0073624846343305,-0.0074606948264524,0.9230644109618434,0.9356322997103892
21,resnet101-Linearity+cayley_pool,relu,PGD,1,0.2808738052018077,0.2314366660125895,0.1753906268665853,0.1317068660342798,0.0996894970989396,0.9230644109618434,0.9356322997103892
22,resnet101-Linearity+cayley_pool,relu,PGD,3,0.1429226673525791,0.1400472777724631,0.1315545220102905,0.1237457065239608,0.1167095969298903,0.9230644109618434,0.9356322997103892
23,resnet101-Linearity+cayley_pool,relu,PGD,3,0.1429197008799175,0.1400426118522935,0.1315422750950997,0.1237535175187232,0.1167128445033941,0.9230644109618434,0.9356322997103892
24,resnet101-Linearity+cayley_pool,relu,PGD,5,0.1898093203070424,0.1947733375238139,0.1855031201356544,0.1671780667426174,0.1501153788139515,0.9230644109618434,0.9356322997103892
25,resnet101-Linearity+cayley_pool,relu,PGD,3,0.6396628072906521,0.6281277723834062,0.5878699037578904,0.5486499851040275,0.5144602485119383,0.9230644109618434,0.9356322997103892
26,resnet101-Linearity+cayley_pool,relu,PGD,5,0.9213790033278788,0.919437360907566,0.846194435349822,0.7428885590978678,0.6521803463084526,0.9230644109618434,0.9356322997103892
27,resnet101-Linearity+cayley_pool,relu,PGD,8,0.2404154148156513,0.2446328727521897,0.2214263735161983,0.1943202765681387,0.17005700159598,0.9230644109618434,0.9356322997103892
28,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,1,0.0701052973456016,0.048032666574667,0.0231638944439086,0.0015418452865755,-0.0180872724391208,0.9225011091017244,0.9365734858316104
29,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,3,0.1387466222777515,0.1323995669246282,0.1215083040826881,0.1111155113700944,0.1021907947341642,0.9225011091017244,0.9365734858316104
30,vonenet50-Linearity,Frelu_elu,PGD,1,-0.0136238814411174,-0.033110697765219,-0.0465068010039303,-0.0551746984560435,-0.0588637688938212,0.8512936024311077,0.8587928597281302
31,vonenet50-Linearity,Frelu_elu,PGD,3,-0.0194880955214364,-0.0316599373612108,-0.029898214102203,-0.0280675322146741,-0.0271958111393605,0.8512936024311077,0.8587928597281302
32,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,1,0.2640341765450762,0.208439892656233,0.15099402520717,0.1080556933979181,0.0757815293423716,0.9225011091017244,0.9365734858316104
33,resnet101-Linearity+prune=0.1l2+cayley_pool,relu,PGD,3,0.5673948009561046,0.5406649603206231,0.4977557672194554,0.4577977784915182,0.4242604175376179,0.9225011091017244,0.9365734858316104
34,vonenet50-Linearity,Frelu_elu,PGD,1,-0.0154718196601413,-0.0230081025010465,-0.0253558912457436,-0.0146153111524589,0.0020317128136267,0.8512936024311077,0.8587928597281302
35,resnet101-Linearity+gr,relu,PGD,1,0.153439550368429,0.1205624783031397,0.0794682874816439,0.0430164520301482,0.0092912108409497,0.9044099532663302,0.9207523049688774
36,resnet101-Linearity+gr,relu,PGD,1,0.1943602133551643,0.1681534473072386,0.1413881648143833,0.1212078999003706,0.1050891645708891,0.9044099532663302,0.9207523049688774
37,vonenet50-Linearity,Frelu_elu,PGD,3,-0.0028293214376424,0.0184634970672763,0.0599752912082099,0.1002433973639448,0.1298598133647031,0.8512936024311077,0.8587928597281302
38,resnet101-Linearity+gr,relu,PGD,3,0.3598243559572981,0.3735319362653367,0.3610492824361102,0.343245429013199,0.3244635938788345,0.9044099532663302,0.9207523049688774
39,resnet101-Linearity+gr,relu,PGD,3,0.4066251420117854,0.4251281753711837,0.4191377314634672,0.4043397817729819,0.3946287612725383,0.9044099532663302,0.9207523049688774
40,resnet101-Linearity,Frelu_elu,PGD,1,-0.0698566260027522,-0.1191526423360238,-0.1562906467782144,-0.185827010502304,-0.2108578931554303,0.891110186601982,0.8978851650727864
41,resnet101-Linearity+gr,relu,PGD,5,0.5188460186231082,0.568624614056128,0.5494487715643188,0.4878391119405478,0.4308155682144446,0.9044099532663302,0.9207523049688774
42,resnet101-Linearity,Frelu_elu,PGD,1,-0.0355632420736752,-0.0340468193557326,-0.0349536646829106,-0.0390271811518169,-0.0454684753663497,0.891110186601982,0.8978851650727864
43,resnet101-Linearity+gr,relu,PGD,5,0.5578979131719463,0.5984622036784405,0.5839046626578999,0.5415950830790548,0.5000881192986952,0.9044099532663302,0.9207523049688774
44,resnet101-Linearity,Frelu_elu,PGD,3,-0.0973701146874479,-0.1492779166663025,-0.1933834397300622,-0.2320734666511634,-0.2657730123471956,0.891110186601982,0.8978851650727864
45,resnet101-Linearity,Frelu_elu,PGD,3,0.0182538603611505,0.0435231818031631,0.0345935356916742,0.0071567813338821,-0.0259020773894185,0.891110186601982,0.8978851650727864
46,resnet101-Linearity,Frelu_elu,PGD,5,-0.1122367887702124,-0.1710859924064671,-0.2148889681792384,-0.2425542113478043,-0.2646302373599903,0.891110186601982,0.8978851650727864
47,resnet101-Linearity,Frelu_elu,PGD,5,0.0592816787670036,0.062979549242924,0.0325444984162316,0.007393772412411,-0.0169240612280212,0.891110186601982,0.8978851650727864
48,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,1,-0.0273824617479179,-0.0507190301976025,-0.0657643281495732,-0.0754951441201793,-0.0824102143980187,0.8795957750046732,0.8886217142549228
49,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,3,-0.0465045455558676,-0.0809559276318789,-0.1039325632386467,-0.1180205150518566,-0.1274543635886732,0.8795957750046732,0.8886217142549228
50,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,5,-0.0610041537104055,-0.0972960061766719,-0.1126977578856259,-0.1183396519579442,-0.1227212470269076,0.8795957750046732,0.8886217142549228
51,resnet101-Linearity+cayley_pool,Frelu_elu,PGD,1,-0.0342786955421919,-0.0644791332110384,-0.0692120737774899,-0.0623205507172761,-0.0534305369003411,0.8795957750046732,0.8886217142549228
52,resnet101-Linearity+cayley_pool,relu,PGD,8,1.287170879573122,1.245112855256634,1.0497160916252373,0.8676871246797593,0.7339376646381849,0.9230644109618434,0.9356322997103892
